Tên,Địa chỉ,Số điện thoại,Link
The Monkey Gallery DINING,"3rd Floor, 91 Mạc Thị Bưởi, Bến Nghé, Quận 1, Hồ Chí Minh",,https://www.google.gg/maps/place/The+Monkey+Gallery+DINING/data=!4m7!3m6!1s0x31752f9331dc29c7:0x6a05446f19b36205!8m2!3d10.774398!4d106.704011!16s%2Fg%2F11hzm3r7hq!19sChIJxyncMZMvdTERBWKzGW9EBWo?authuser=0&hl=en&rclk=1
Antico Fornaio,"69 Hoàng Văn Thái, Khu đô thị Phú Mỹ Hưng, Quận 7, Hồ Chí Minh",0834 918 723,https://www.google.gg/maps/place/Antico+Fornaio/data=!4m7!3m6!1s0x31752f67cc5ea1f5:0x7e94b4fb68728fc5!8m2!3d10.730958!4d106.724047!16s%2Fg%2F11y7kjjwhh!19sChIJ9aFezGcvdTERxY9yaPu0lH4?authuser=0&hl=en&rclk=1
Tràng An Quán - Nhà hàng Ẩm Thực Đồng Quê Ngon Quận 7,"131 Số 47, Tân Quy, Quận 7, Hồ Chí Minh 70000",0969 273 254,https://www.google.gg/maps/place/Tr%C3%A0ng+An+Qu%C3%A1n+-+Nh%C3%A0+h%C3%A0ng+%E1%BA%A8m+Th%E1%BB%B1c+%C4%90%E1%BB%93ng+Qu%C3%AA+Ngon+Qu%E1%BA%ADn+7/data=!4m7!3m6!1s0x31752f3380b18f65:0xdec731c121f1d27!8m2!3d10.741822!4d106.7123838!16s%2Fg%2F11scch847b!19sChIJZY-xgDMvdTERJx0fEhxz7A0?authuser=0&hl=en&rclk=1
Lẩu Nướng Nhà Vàng,"55 Đường Số 27, Tân Quy, Quận 7, Hồ Chí Minh 70000",0965 859 838,https://www.google.gg/maps/place/L%E1%BA%A9u+N%C6%B0%E1%BB%9Bng+Nh%C3%A0+V%C3%A0ng/data=!4m7!3m6!1s0x31752fffe9b3d1c7:0xadada06251fcef9d!8m2!3d10.74285!4d106.710216!16s%2Fg%2F11kj44_skn!19sChIJx9Gz6f8vdTERne_8UWKgra0?authuser=0&hl=en&rclk=1
Nhà Hàng Lẩu Reski Quận 7,"436 Đ. Nguyễn Thị Thập, Tân Quy, Quận 7, Hồ Chí Minh 72900",1800 3379,https://www.google.gg/maps/place/Nh%C3%A0+H%C3%A0ng+L%E1%BA%A9u+Reski+Qu%E1%BA%ADn+7/data=!4m7!3m6!1s0x31752fd6926b8d9f:0x39e7d5fc891e253!8m2!3d10.7393684!4d106.70807!16s%2Fg%2F11ltgms3b8!19sChIJn41rktYvdTERU-KRyF99ngM?authuser=0&hl=en&rclk=1
Nhà Hàng Huế Xưa (Ẩm Thực Cố Đô),"19e3 Đường số 53, Khu định cư Tân Quy Đông, Quận 7, Hồ Chí Minh 700000",0977 883 779,https://www.google.gg/maps/place/Nh%C3%A0+H%C3%A0ng+Hu%E1%BA%BF+X%C6%B0a+%28%E1%BA%A8m+Th%E1%BB%B1c+C%E1%BB%91+%C4%90%C3%B4%29/data=!4m7!3m6!1s0x31752ff0646e9f1d:0xbe74eff598ae9915!8m2!3d10.7382511!4d106.7082347!16s%2Fg%2F11t_pm9ccy!19sChIJHZ9uZPAvdTERFZmumPXvdL4?authuser=0&hl=en&rclk=1
Hoa Sinh CAT,"38-40 Khu Phố Hưng Phước 3, Tân Phong, Quận 7, Hồ Chí Minh",0792 926 198,https://www.google.gg/maps/place/Hoa+Sinh+CAT/data=!4m7!3m6!1s0x31752f916b7a3c49:0x9754d95a785dd00b!8m2!3d10.7305946!4d106.7069965!16s%2Fg%2F11y6cgvcs!19sChIJSTx6a5EvdTERC9BdeFrZVJc?authuser=0&hl=en&rclk=1
Nhà hàng hải sản Hương Lúa 9,"11- 17, 11 Đ. Số 65, P, Quận 7, Hồ Chí Minh 72900",0908 726 915,https://www.google.gg/maps/place/Nh%C3%A0+h%C3%A0ng+h%E1%BA%A3i+s%E1%BA%A3n+H%C6%B0%C6%A1ng+L%C3%BAa+9/data=!4m7!3m6!1s0x31752fa5426563b9:0x5a72caada9cb544c!8m2!3d10.738773!4d106.7068806!16s%2Fg%2F11p_5sr1hp!19sChIJuWNlQqUvdTERTFTLqa3Kclo?authuser=0&hl=en&rclk=1
Ẩm thực sân vườn Sông Thương,"62 Đ. Số 77, Tân Quy, Quận 7, Hồ Chí Minh",028 2213 1830,https://www.google.gg/maps/place/%E1%BA%A8m+th%E1%BB%B1c+s%C3%A2n+v%C6%B0%E1%BB%9Dn+S%C3%B4ng+Th%C6%B0%C6%A1ng/data=!4m7!3m6!1s0x31752f9c15ac0163:0x30374357c5c6ba97!8m2!3d10.7413176!4d106.7066423!16s%2Fg%2F1tdmgzkj!19sChIJYwGsFZwvdTERl7rGxVdDNzA?authuser=0&hl=en&rclk=1
Hàng Dương Sakura,"16 Số 77, Tân Phong, Quận 7, Hồ Chí Minh 00000",1800 9478,https://www.google.gg/maps/place/H%C3%A0ng+D%C6%B0%C6%A1ng+Sakura/data=!4m7!3m6!1s0x31752fe847042fa7:0xfcd09925964666ea!8m2!3d10.7356651!4d106.7051916!16s%2Fg%2F11jbmjc4_8!19sChIJpy8ER-gvdTER6mZGliWZ0Pw?authuser=0&hl=en&rclk=1
